trip_miles,fare
4.36,20.93
14.55,58.12
11.79,46.02
10.89,42.18
7.02,27.01
4.45,17.9
1.9,7.8
13.59,49.34
7.11,29.22
3.43,18.78
4.94,27.83
8.9,34.94
3.06,16.8
12.92,50.04
11.5,44.32
10.93,42.49
6.77,26.63
9.6,36.42
8.97,35.02
9.92,35.65
1.72,7.9
6.53,27.82
1.1,8.24
7.66,29.15
5.28,22.98
2.6,13.4
2.0,11.25
9.02,34.76
2.97,17.66
13.91,56.4
8.93,34.84
5.53,24.73
9.07,36.85
0.83,7.94
14.4,55.82
7.49,31.69
11.85,46.95
1.7,8.42
7.56,32.21
7.62,28.46
14.1,50.38
8.79,36.46
7.37,31.53
4.37,22.92
5.31,20.55
8.05,29.66
6.86,27.72
0.81,5.61
12.48,47.34
13.49,54.22
2.53,12.31
8.53,33.65
2.07,9.9
10.25,40.15
4.58,20.67
10.06,36.96
11.04,42.14
11.65,43.9
2.06,9.86
13.78,56.49
3.84,16.21
1.04,5.86
8.55,29.08
5.88,23.09
12.53,47.85
12.22,46.4
5.1,23.85
14.32,53.31
4.72,21.94
7.97,31.96
4.21,19.8
14.07,53.32
2.89,14.11
1.15,10.94
6.81,23.98
14.89,51.85
13.43,48.75
11.35,43.17
13.42,51.02
13.45,51.03
8.02,29.85
5.08,23.45
11.69,47.06
10.09,39.04
5.92,26.2
1.87,11.99
11.33,42.91
4.31,20.33
14.08,52.71
3.99,18.71
2.28,14.01
12.55,42.34
2.72,11.46
3.1,12.3
9.19,35.79
13.18,49.6
3.35,12.84
5.0,18.78
11.77,42.58
14.59,59.29
7.76,33.65
2.59,12.93
0.7,4.93
3.83,15.01
2.41,9.1
10.33,40.38
2.27,9.55
7.84,30.96
10.57,38.78
8.93,33.92
3.4,16.73
12.16,48.05
10.87,43.35
11.22,39.59
2.4,14.01
2.29,9.17
13.95,54.22
6.26,26.78
4.86,18.04
7.58,29.48
10.11,38.71
14.36,56.39
4.65,18.75
13.91,54.35
0.86,8.14
8.55,32.08
9.69,39.05
